epoch,train_loss,test_loss,behavioral_rsa_rho,behavioral_rsa_p_value,used_random_targets,used_shuffled_targets
1,159.79543154391556,119.60452595073215,0.4363180990708469,1.2558803560542028e-53,True,False
2,118.5363824902479,96.77542940424293,0.4246952995725479,1.3009964481710179e-50,True,False
3,110.54522210541194,94.97543309670127,0.43899642048427673,2.4394117192673533e-54,True,False
4,108.5863219918967,94.33577032774193,0.4462884714156228,2.612728450278595e-56,True,False
5,107.28847512115732,93.97216261552842,0.4548092493728233,1.130793085703818e-58,True,False
6,91.83825322201378,87.72023908077682,0.46319860554344305,4.568056739044453e-61,False,False
7,85.23219362718577,82.3783255729886,0.3953043180055478,1.7019895697541137e-43,False,False
8,80.74473542189664,78.80067089776308,0.40593361779253634,5.482421268172192e-46,False,False
9,77.58042935189118,75.87568512805917,0.43538911254497126,2.2095543784265363e-53,False,False
10,74.84509976881033,73.16629121053285,0.4807749453311954,2.651101592995732e-66,False,False
11,72.16805020065519,70.38250407856472,0.5373095612166727,2.2392360430961501e-85,False,False
12,69.00230967767351,66.69793895068089,0.6015177471061469,5.994956201963676e-112,False,False
13,64.61118614640593,61.58499288822406,0.6462515669660156,2.330861286322309e-134,False,False
14,58.78102057924561,56.13352631205353,0.6753327832391883,4.517011301428754e-151,False,False
15,54.207748962571415,52.65494088441628,0.6945884264939137,3.073483484176841e-163,False,False
16,51.105888271595965,50.202839234915885,0.7087673644824504,7.81319417088236e-173,False,False
17,48.66090702680339,48.16338666631372,0.7200704575026967,6.596467499267275e-181,False,False
18,46.64947564714173,46.3924296468661,0.727529338896144,1.8595892398105027e-186,False,False
19,44.90941657914349,44.95514255334,0.7294567455596688,6.385110334208242e-188,False,False
20,43.35411145746543,43.7472638715038,0.7376410115045081,2.778681621011259e-194,False,False
21,41.988491449329665,42.56239854169814,0.7450674105592546,2.8928116853928703e-200,False,False
22,40.76256543315348,41.604912647226236,0.7461716846606409,3.580434610846667e-201,False,False
23,39.59892040474593,40.74565067607395,0.7489541376795654,1.7641955441748344e-203,False,False
24,38.53843741799986,39.899732199821685,0.7506454725713496,6.746016782289079e-205,False,False
25,37.604414519840994,39.187730420360246,0.7560023077003429,1.8325010191277407e-209,False,False
26,36.6791985847283,38.51515204076609,0.7592908832137086,2.5164119009462206e-212,False,False
27,35.87454591365402,37.959808813274236,0.761293613786977,4.314971412724087e-214,False,False
28,35.095888555215005,37.41950615730075,0.7620212767006076,9.751548946548557e-215,False,False
29,34.38712682750417,37.00746947230555,0.7660611432071837,2.2929779504164204e-218,False,False
30,33.75027047365987,36.45690439550916,0.7702746083748772,3.1384347163053956e-222,False,False
31,33.06864190563931,35.95764071638413,0.7707394653396769,1.1624596843477978e-222,False,False
32,32.50843033301863,35.5508485235562,0.7712395972045997,3.982632382643565e-223,False,False
33,31.94278549553615,35.16413015291836,0.7705849087702945,1.6177160317411263e-222,False,False
34,31.456118385547416,34.887777465483104,0.7752386914783126,6.873380658798864e-227,False,False
35,30.91850178261543,34.6021750855841,0.7750491150181587,1.040660178865069e-226,False,False
36,30.484657203061428,34.23924272231634,0.7717925536296024,1.2146290270503052e-223,False,False
37,30.003016934170287,33.87747546454161,0.7766449551785479,3.1288130128532356e-228,False,False
38,29.57509182959052,33.6630449031598,0.7782384124646694,9.184882609514467e-230,False,False
39,29.15110891875798,33.44787922221653,0.781684437440388,4.029160372278558e-233,False,False
40,28.77125828285957,33.13058117608339,0.7792628602780906,9.357976838280092e-231,False,False
41,28.391566358444763,32.92947727013688,0.7829879950792079,2.084457818684962e-234,False,False
42,28.038644457788017,32.780424803001445,0.7809733961198944,2.0093887629716916e-232,False,False
43,27.703650376803328,32.56954762158473,0.7842703116931967,1.109165488268914e-235,False,False
44,27.346793135117295,32.367768324541125,0.7819677486493637,2.1204458679006084e-233,False,False
45,27.022652676230983,32.197058619715236,0.783380997933636,8.50090974941693e-235,False,False
46,26.703285507878437,32.04812853902743,0.7825211189420024,6.0350885686718e-234,False,False
