epoch,train_loss,test_loss,behavioral_rsa_rho,behavioral_rsa_p_value,used_random_targets,used_shuffled_targets
58,129.07116187774574,92.38853235402819,0.5067257754985226,1.2949128372238487e-74,True,False
59,105.19545900128225,97.54177776357746,0.5052910845263229,3.896319461234504e-74,True,False
60,104.63024266208637,98.14416196201388,0.5158399393141331,1.0450149277390304e-77,True,False
61,104.55645487777414,98.41680187415022,0.5288548724863085,2.7293277096204786e-82,True,False
62,104.5044048658038,98.65392767131658,0.5283329394120777,4.2044627981385666e-82,True,False
63,104.49060083954618,98.86138431275089,0.5258120131147456,3.3533596132381563e-81,True,False
64,104.47558864265928,99.08442173741798,0.5244796979459486,9.977137769634019e-81,True,False
65,104.45858781555683,99.22819856253777,0.5211930454539218,1.4393329541780117e-79,True,False
66,104.41821673702336,99.3612837396274,0.523242472001873,2.7343353803997803e-80,True,False
67,104.4308901757745,99.48752733093599,0.5197065332371231,4.767279223444815e-79,True,False
68,104.39602612524482,99.60613861927011,0.5180215777596063,1.839511100286608e-78,True,False
69,104.39841317470054,99.70890706942227,0.5178338323502054,2.1371821511397624e-78,True,False
70,104.4150060299691,99.8271776062349,0.5145585465864831,2.881933909666091e-77,True,False
71,104.37788858175938,99.89460176921023,0.5138804349161755,4.921177826994612e-77,True,False
72,104.36961083663137,99.9801825423267,0.5119109015438881,2.3123306619740457e-76,True,False
73,104.3927645907838,100.0674081033106,0.5078100878023162,5.612388191923035e-75,True,False
74,104.34933782350323,100.13439840243008,0.506630945463634,1.392942340090283e-74,True,False
75,104.33911445596542,100.2022224974237,0.5039299240374443,1.1026702000830942e-73,True,False
76,104.36066817180601,100.26378054118288,0.5028614432158462,2.4869284768364857e-73,True,False
77,104.3530733103237,100.32188731662477,0.501619246679658,6.378745944296828e-73,True,False
78,104.3472109976898,100.36969255479,0.501884255742066,5.219222261595706e-73,True,False
79,104.3447185738265,100.41825116405171,0.49858834766472604,6.248846236979058e-72,True,False
80,104.33946513337112,100.47928454994496,0.4972874320900063,1.6524714495784713e-71,True,False
81,104.35034879224783,100.51676224345002,0.4976635625224274,1.2479950575225745e-71,True,False
82,104.32850245425576,100.58214400486393,0.4979422166753784,1.0134215107217604e-71,True,False
83,104.32680471319901,100.62033186433065,0.49756674675898244,1.3415591707133187e-71,True,False
84,104.3278722366798,100.66930376758891,0.495548247410736,6.02433782763142e-71,True,False
85,104.35429001911196,100.70924550261945,0.4934731192645439,2.7923586696855868e-70,True,False
86,104.34698642720146,100.7583216040174,0.4933415469806411,3.076437642789165e-70,True,False
87,104.3369946255248,100.80632267735939,0.4930206741483416,3.8957092290063583e-70,True,False
88,104.32074904507877,100.83040804362429,0.4928419293149024,4.442823836800489e-70,True,False
89,104.31106546248756,100.87787122357616,0.4915024111770474,1.1865532063667726e-69,True,False
90,104.30719042748956,100.90356251416286,0.4906109653720896,2.2759290580746192e-69,True,False
91,104.32366305110857,100.93725472128853,0.4894393980652896,5.341318946460147e-69,True,False
92,104.29535628553903,100.96149554173591,0.48944256687001736,5.329032473649523e-69,True,False
93,104.34611310456928,101.00167661213743,0.48801694754195923,1.4981183707593094e-68,True,False
94,104.31572831172362,101.0270576266294,0.48813642569383364,1.3740620823926744e-68,True,False
95,104.31818848501612,101.05946147771172,0.4880487191988608,1.4640806326553164e-68,True,False
96,104.31506918275785,101.0843463708024,0.48873064346799666,8.934770305963501e-69,True,False
97,104.3252750935647,101.11897804723918,0.4879564141745995,1.565164204400697e-68,True,False
98,104.29715773141285,101.14670271899818,0.48762734759920434,1.985428880512967e-68,True,False
99,104.31005817106886,101.16864346667548,0.4871186164845123,2.866316184917224e-68,True,False
100,104.31341656291254,101.19743119550674,0.48630290009597177,5.1577766949932764e-68,True,False
101,104.30263219183502,101.22470286669652,0.48426598154768485,2.2210706332545062e-67,True,False
102,104.30490841429649,101.24633494003044,0.4835733636077129,3.6408529883821646e-67,True,False
103,104.28423434017107,101.26650170594948,0.4817727091333006,1.308945360345771e-66,True,False
104,104.32089233398438,101.29591390704581,0.4827488096819763,6.54770154907901e-67,True,False
105,104.28434793572677,101.31464853866325,0.48364977862304226,3.447835019256159e-67,True,False
106,104.28394201389641,101.32635304150661,0.4823002858571126,9.004178302464997e-67,True,False
107,104.29058034796464,101.34513732741551,0.4824358588614963,8.177976404740386e-67,True,False
108,95.19203940520987,89.93978312792699,0.3872659299511792,1.1375874194247913e-41,False,False
109,88.70432186390885,86.27507685034314,0.4175838119839506,7.978025334574011e-49,False,False
110,83.58238833102493,75.85634381204679,0.48547753515688785,9.330772083591982e-68,False,False
111,56.17738236614872,45.44892225739706,0.7039911605638135,1.5444087311647952e-169,False,False
112,32.645353671256196,32.490297264815695,0.7594225809120466,1.9283984013368215e-212,False,False
113,24.925330249226324,30.800501091045568,0.7691315143253346,3.5731866084565314e-221,False,False
