epoch,train_loss,test_loss,behavioral_rsa_rho,behavioral_rsa_p_value,used_random_targets,used_shuffled_targets
32,123.05473293822227,94.36028020026275,0.5433944856683762,1.186406049693393e-87,True,False
33,85.24324029304314,75.10374665655483,0.45668199624503386,3.3482936231399455e-59,False,False
34,57.681913571344516,47.20367950102242,0.726650852582817,8.563130016112428e-186,False,False
35,36.95367143160749,35.970891351857894,0.7560987806643319,1.5126130773996518e-209,False,False
36,31.525862131092357,34.29773471895503,0.7566605244607567,4.941024719278909e-210,False,False
37,30.175120181984518,33.51964297215583,0.7650181758621737,2.0147179324837902e-217,False,False
38,29.305372084937268,33.101936698618516,0.7678837117638958,5.002693760961814e-220,False,False
39,28.60379721517378,32.72655900143787,0.7717672324551481,1.2826017058942594e-223,False,False
40,28.00733543036717,32.3796261107724,0.770093179672526,4.6214922753218025e-222,False,False
41,27.449019292054743,32.10325047192653,0.7730187514643483,8.621615178230209e-225,False,False
42,26.979096721744273,31.872417302421443,0.7708147725274959,9.894758140743808e-223,False,False
43,26.50703516297063,31.68065877250545,0.7747750426725714,1.8941963158509906e-226,False,False
44,26.058907939456507,31.439850317180486,0.773281189530836,4.883873958056327e-225,False,False
45,25.651208502433967,31.25034602044037,0.7748665617663724,1.5509834889189734e-226,False,False
46,25.26597306206616,31.110199585803965,0.7732255724093337,5.509350177177728e-225,False,False
47,24.911833538573205,30.944476996996126,0.7759486249712958,1.4487987565243612e-227,False,False
48,24.534770960292658,30.74179547136001,0.7736883725773972,2.0190528129681162e-225,False,False
49,24.23228611510216,30.689244770872,0.7715329164854995,2.1221742954633274e-223,False,False
50,23.911055498836443,30.57664348539068,0.7741458050076369,7.468447842541915e-226,False,False
51,23.603883045862258,30.48859133641364,0.7729473488459433,1.0062029957095687e-224,False,False
52,23.31504598284692,30.357936079330866,0.7704052484114788,2.3746345658693318e-222,False,False
53,23.048532660317882,30.22696595165611,0.7752758810388121,6.335947445188913e-227,False,False
54,22.78420798071864,30.149924409982248,0.7701843810497581,3.8046601299046415e-222,False,False
55,22.540534978428045,30.162507894948043,0.7663140121522704,1.3515360754064513e-218,False,False
56,22.263304047307148,29.997231267433797,0.7718020224194553,1.1901445173134692e-223,False,False
57,22.040461231136586,29.913653737273663,0.7685413892422382,1.2474001090668921e-220,False,False
58,21.76975805541485,29.945757049223335,0.771814342297467,1.1590232719039708e-223,False,False
59,21.552074844487155,29.841749539032826,0.7713729670954061,2.9916660296840968e-223,False,False
60,21.35508384070568,29.810323894353203,0.7690605004916785,4.1541144455688995e-221,False,False
61,21.13059883963038,29.712392943998726,0.767770232602502,6.354489347221218e-220,False,False
62,20.903414073743317,29.721804961315176,0.7687334238253211,8.30807438682297e-221,False,False
63,20.717450408724208,29.672229471786245,0.768506009830086,1.3443287826214922e-220,False,False
64,20.524375249804553,29.685935447229205,0.7617754351443696,1.6126962360594325e-214,False,False
65,20.316650020779004,29.599668871631938,0.7637016002049866,3.0805756735823413e-216,False,False
66,20.10480297437335,29.51009942154858,0.7618469966210591,1.3931035169059146e-214,False,False
67,19.92241815054516,29.500227111479195,0.7647096772541412,3.823342698384124e-217,False,False
68,19.74519732256015,29.47858034839946,0.7601495874901332,4.423759529899229e-213,False,False
69,19.57540890384579,29.41860940838387,0.7622898893377852,5.62411643855707e-215,False,False
70,19.392825160990792,29.45483164497502,0.7635176046871962,4.503401931521691e-216,False,False
71,19.214610482847263,29.402271439357357,0.7639412964539027,1.877474577869395e-216,False,False
72,19.068720608867107,29.42406632228451,0.759141322319326,3.403721354279642e-212,False,False
73,18.91530547313743,29.37854275782464,0.7587529221746672,7.449924044291962e-212,False,False
74,18.736642177085137,29.34392804730663,0.7608876514409179,9.870087223493596e-214,False,False
75,18.581603745014053,29.327793395321674,0.7599410525478677,6.751997010317851e-213,False,False
76,18.442176665625745,29.33729648063196,0.7591272257368165,3.5019701709789943e-212,False,False
77,18.296025136170954,29.361095344164095,0.7584001355491063,1.5156412828534747e-211,False,False
78,18.145509973457315,29.322638327245553,0.757023503099413,2.3940495551840182e-210,False,False
79,18.01404407215911,29.317763017686033,0.7550302036916668,1.2601081947601752e-208,False,False
80,17.86048307973592,29.291402511175168,0.7563262113814916,9.619641140732623e-210,False,False
81,17.71531266717039,29.259757173654123,0.7559088112389478,2.2067485449402715e-209,False,False
82,17.58449025563586,29.263506135887862,0.7529133668848293,8.133909086624176e-207,False,False
83,17.43860587122698,29.293689664556176,0.7546064074129312,2.912277557643063e-208,False,False
84,17.323868384321642,29.237629821945948,0.7548439381726006,1.821405620879856e-208,False,False
85,17.193695258565885,29.240529223700253,0.7526039443904579,1.4904406681516134e-206,False,False
86,17.05993909122541,29.24975969514794,0.7519264974166564,5.594971524016788e-206,False,False
87,16.938458128318892,29.263187218766188,0.7535757683068953,2.217834079070578e-207,False,False
88,16.822130974640146,29.294045569488357,0.7532470319895128,4.229013410488526e-207,False,False
89,16.70991410442997,29.282114587436066,0.7529670275411435,7.322289833992283e-207,False,False
90,16.589970858143307,29.30170295251667,0.7540219677842279,9.220393803887783e-208,False,False
91,16.46725575877689,29.270662360428446,0.747790906252221,1.6400740323813223e-202,False,False
92,16.34393155211557,29.27539465045402,0.7497950749110123,3.492901289369543e-204,False,False
93,16.2273116811821,29.29642813245236,0.7501430498027449,1.7836789055107072e-204,False,False
94,16.137955467456596,29.29258717489506,0.7458995144339866,5.998128901971529e-201,False,False
