perturb_epoch,perturbation_type,baseline_loss,baseline_rsa,perturbed_loss,perturbed_rsa,delta_loss,delta_rsa
5,gaussian,7.129578,0.4116646782437932,13.70965576171875,0.04108706490023126,6.58007776171875,-0.370577613343562
5,uniform_gray,7.129578,0.4116646782437932,13.696409225463867,0.024507464696697113,6.566831225463867,-0.3871572135470961
5,label_shuffle,7.129578,0.4116646782437932,13.812166213989258,0.06662763518685529,6.682588213989257,-0.34503704305693794
5,target_noise,7.129578,0.4116646782437932,13.814077377319336,0.07073548049775713,6.6844993773193355,-0.3409291977460361
10,gaussian,6.021348,0.4412993053526755,13.770599365234375,0.037110319478859885,7.749251365234375,-0.4041889858738156
10,uniform_gray,6.021348,0.4412993053526755,13.777994155883789,0.039925451319100046,7.756646155883789,-0.40137385403357545
10,label_shuffle,6.021348,0.4412993053526755,13.813587188720703,0.06946531654253318,7.792239188720703,-0.3718339888101423
10,target_noise,6.021348,0.4412993053526755,13.810714721679688,0.0650968098696414,7.789366721679688,-0.3762024954830341
15,gaussian,5.482288,0.4753505405278998,13.728387832641602,0.06638939374538678,8.246099832641601,-0.40896114678251305
15,uniform_gray,5.482288,0.4753505405278998,13.756425857543945,0.06199729243676446,8.274137857543945,-0.4133532480911354
15,label_shuffle,5.482288,0.4753505405278998,13.815122604370117,0.04644341927388996,8.332834604370117,-0.42890712125400987
15,target_noise,5.482288,0.4753505405278998,13.815744400024414,0.05251604056950637,8.333456400024414,-0.42283449995839345
16,gaussian,5.411517,0.5188588589201222,13.777692794799805,0.07287348308076487,8.366175794799805,-0.4459853758393573
16,uniform_gray,5.411517,0.5188588589201222,13.760345458984375,0.07899855687363698,8.348828458984375,-0.4398603020464852
16,label_shuffle,5.411517,0.5188588589201222,13.813472747802734,0.07782036350418059,8.401955747802734,-0.4410384954159416
16,target_noise,5.411517,0.5188588589201222,13.814413070678711,0.09350047883746455,8.402896070678711,-0.42535838008265764
20,gaussian,5.084026,0.4214996585147711,13.752387046813965,0.0683058350067993,8.668361046813965,-0.3531938235079718
20,uniform_gray,5.084026,0.4214996585147711,13.720722198486328,0.09701960788742478,8.636696198486328,-0.3244800506273463
20,label_shuffle,5.084026,0.4214996585147711,13.816707611083984,0.08108915280016271,8.732681611083985,-0.3404105057146084
20,target_noise,5.084026,0.4214996585147711,13.814080238342285,0.07392221948979108,8.730054238342285,-0.34757743902498006
25,gaussian,4.818266,0.4570949640966028,13.717306137084961,0.06250404200338133,8.89904013708496,-0.39459092209322144
25,uniform_gray,4.818266,0.4570949640966028,13.725189208984375,0.07359418549324527,8.906923208984374,-0.3835007786033575
25,label_shuffle,4.818266,0.4570949640966028,13.81286907196045,0.08834378424454487,8.994603071960448,-0.3687511798520579
25,target_noise,4.818266,0.4570949640966028,13.81132698059082,0.09444581522520101,8.993060980590819,-0.36264914887140176
30,gaussian,4.574583,0.4016420621109318,13.745630264282227,0.04063878354327552,9.171047264282226,-0.36100327856765624
30,uniform_gray,4.574583,0.4016420621109318,13.794649124145508,0.03261896936675086,9.220066124145507,-0.36902309274418094
30,label_shuffle,4.574583,0.4016420621109318,13.815961837768555,0.11537632645637713,9.241378837768554,-0.28626573565455465
30,target_noise,4.574583,0.4016420621109318,13.813895225524902,0.09339300702751398,9.239312225524902,-0.3082490550834178
35,gaussian,4.441203,0.4267720155384099,13.633932113647461,0.10940004852983341,9.192729113647461,-0.31737196700857645
35,uniform_gray,4.441203,0.4267720155384099,13.619894027709961,0.09654989320350403,9.178691027709961,-0.33022212233490583
35,label_shuffle,4.441203,0.4267720155384099,13.813237190246582,0.08079082530281981,9.372034190246582,-0.34598119023559004
35,target_noise,4.441203,0.4267720155384099,13.811271667480469,0.07166374798087137,9.370068667480469,-0.3551082675575385
45,gaussian,4.198788,0.4521313592834461,13.493928909301758,0.06113973361218077,9.295140909301757,-0.39099162567126533
45,uniform_gray,4.198788,0.4521313592834461,13.483625411987305,0.051333002022372495,9.284837411987304,-0.4007983572610736
45,label_shuffle,4.198788,0.4521313592834461,13.809724807739258,0.045394206290010224,9.610936807739257,-0.4067371529934359
45,target_noise,4.198788,0.4521313592834461,13.81125259399414,0.05990008716950697,9.61246459399414,-0.39223127211393916
70,gaussian,3.62469,0.3702659631740416,12.886862754821777,0.08347838976011919,9.262172754821776,-0.2867875734139224
70,uniform_gray,3.62469,0.3702659631740416,12.854684829711914,0.0866851030911894,9.229994829711913,-0.2835808600828522
70,label_shuffle,3.62469,0.3702659631740416,13.80508804321289,0.03560665474781564,10.18039804321289,-0.33465930842622593
70,target_noise,3.62469,0.3702659631740416,13.80636215209961,0.04088552808344635,10.181672152099608,-0.3293804350905952
98,gaussian,3.438996,0.2762889322047936,3.4674222469329834,0.027433433634230692,0.028426246932983457,-0.2488554985705629
98,uniform_gray,3.438996,0.2762889322047936,3.4604735374450684,0.02626182452261902,0.021477537445068418,-0.2500271076821746
98,label_shuffle,3.438996,0.2762889322047936,13.583528518676758,0.01682649942150831,10.144532518676758,-0.2594624327832853
98,target_noise,3.438996,0.2762889322047936,13.581695556640625,0.01620246645563195,10.142699556640626,-0.26008646574916167
