checkpoint,epoch,train_loss,val_loss,val_acc,rsa_score
checkpoint_epoch_000,0,5.548328399658203,9.638383865356445,12.35,0.34102390654118747
checkpoint_epoch_001,1,4.510801315307617,8.509856224060059,18.464,0.3154742347166611
checkpoint_epoch_002,2,4.3595781326293945,8.226699829101562,20.428,0.28580173262095365
checkpoint_epoch_003,3,4.185578346252441,7.843277454376221,22.464,0.318563721638679
checkpoint_epoch_004,4,3.9868874549865723,7.474336624145508,25.186,0.4288203416470964
checkpoint_epoch_005,5,3.8175954818725586,7.129578113555908,27.534,0.41166467824379327
checkpoint_epoch_006,6,3.6180243492126465,6.769011497497559,30.116,0.42293870735194977
checkpoint_epoch_007,7,3.482429027557373,6.528848648071289,32.112,0.3840009968897195
checkpoint_epoch_008,8,3.3721227645874023,6.266579627990723,34.02,0.4130380102164141
checkpoint_epoch_009,9,3.277560234069824,6.191006660461426,34.622,0.39797582191271497
checkpoint_epoch_010,10,3.197432518005371,6.021348476409912,35.586,0.4412993053526755
checkpoint_epoch_011,11,3.1229655742645264,5.886656284332275,36.87,0.4374170105110698
checkpoint_epoch_012,12,3.0590527057647705,5.815967559814453,37.71,0.4068713102091685
checkpoint_epoch_013,13,3.0007944107055664,5.624125957489014,39.004,0.45401064422576765
checkpoint_epoch_014,14,2.9483065605163574,5.572384834289551,39.498,0.47336498823843715
checkpoint_epoch_015,15,2.898768424987793,5.482287883758545,40.328,0.4753505405278998
checkpoint_epoch_016,16,2.8545823097229004,5.411517143249512,41.218,0.5188588589201222
checkpoint_epoch_017,17,2.8131115436553955,5.299007892608643,41.968,0.48839025470067476
checkpoint_epoch_018,18,2.7742767333984375,5.260062217712402,42.062,0.43203637115754717
checkpoint_epoch_019,19,2.7378664016723633,5.15469217300415,43.198,0.4331092616783844
checkpoint_epoch_020,20,2.703476905822754,5.084025859832764,43.718,0.42149965851477117
checkpoint_epoch_021,21,2.6695990562438965,5.0826191902160645,43.632,0.44648428235704024
checkpoint_epoch_022,22,2.634018898010254,4.931856155395508,44.91,0.4141122384851304
checkpoint_epoch_023,23,2.5986366271972656,4.904208660125732,45.39,0.4382593067412578
checkpoint_epoch_024,24,2.5693912506103516,4.850280284881592,45.958,0.4640041727031844
checkpoint_epoch_025,25,2.539074182510376,4.818265914916992,46.292,0.4570949640966028
checkpoint_epoch_026,26,2.5111637115478516,4.718077659606934,47.024,0.44312805686886636
checkpoint_epoch_027,27,2.482205867767334,4.778791427612305,46.41,0.4290365718698945
checkpoint_epoch_028,28,2.460324287414551,4.680258750915527,47.468,0.4112852260579041
checkpoint_epoch_029,29,2.433478355407715,4.640953540802002,47.762,0.43963771379489464
checkpoint_epoch_030,30,2.406066417694092,4.574582576751709,48.378,0.4016420621109318
checkpoint_epoch_031,31,2.3874967098236084,4.6080780029296875,48.102,0.4545678580220084
checkpoint_epoch_032,32,2.36368989944458,4.588212013244629,48.334,0.4822600752105269
checkpoint_epoch_033,33,2.342210292816162,4.399045944213867,50.17,0.4472287557735736
checkpoint_epoch_034,34,2.321561336517334,4.413873672485352,49.944,0.44619005307197007
checkpoint_epoch_035,35,2.3017141819000244,4.4412031173706055,49.866,0.42677201553840993
checkpoint_epoch_036,36,2.281740665435791,4.389232158660889,50.174,0.49209003892695846
checkpoint_epoch_037,37,2.2622056007385254,4.2948808670043945,51.21,0.4607353690389056
checkpoint_epoch_038,38,2.2379603385925293,4.310873985290527,51.052,0.4492382621109953
checkpoint_epoch_039,39,2.2196879386901855,4.2811279296875,51.162,0.49705509018000926
checkpoint_epoch_040,40,2.2002573013305664,4.1999006271362305,51.996,0.4808144964915138
checkpoint_epoch_041,41,2.181489944458008,4.310904026031494,50.938,0.4687558364476801
checkpoint_epoch_042,42,2.159973621368408,4.154623031616211,52.57,0.4432299347307794
checkpoint_epoch_043,43,2.1376664638519287,4.143732070922852,52.614,0.432185295940181
checkpoint_epoch_044,44,2.118496894836426,4.185301780700684,52.242,0.46403046780993173
