checkpoint,epoch,train_loss,val_loss,val_acc,rsa_score
checkpoint_epoch_072,72,1.403101921081543,3.5883021354675293,58.974,0.3722559718361264
checkpoint_epoch_073,73,1.3695762157440186,3.621586799621582,58.888,0.4162580780532745
checkpoint_epoch_074,74,1.3345685005187988,3.5953497886657715,58.812,0.4150827244058272
checkpoint_epoch_075,75,1.3031504154205322,3.5526182651519775,59.426,0.37040746345594694
checkpoint_epoch_076,76,1.2689683437347412,3.580410957336426,59.556,0.3811966342062702
checkpoint_epoch_077,77,1.2346136569976807,3.5403389930725098,59.99,0.3993440704433954
checkpoint_epoch_078,78,1.1955726146697998,3.547631025314331,59.946,0.3662474354328044
checkpoint_epoch_079,79,1.1624259948730469,3.5650129318237305,59.752,0.33328686610336
checkpoint_epoch_080,80,1.1262542009353638,3.581470251083374,59.71,0.30077978494398544
checkpoint_epoch_081,81,1.0894155502319336,3.5190765857696533,60.592,0.3670833522777942
checkpoint_epoch_082,82,1.0541234016418457,3.5515193939208984,60.228,0.3458615958352297
checkpoint_epoch_083,83,1.0174750089645386,3.49792742729187,60.858,0.3703732171102436
checkpoint_epoch_084,84,0.9831321239471436,3.5528981685638428,60.582,0.35817156017906493
checkpoint_epoch_085,85,0.9469982981681824,3.511308193206787,61.12,0.3586275482654837
checkpoint_epoch_086,86,0.9140575528144836,3.5099966526031494,61.016,0.31915178724538
checkpoint_epoch_087,87,0.8808839321136475,3.504619598388672,61.054,0.29173793030771666
checkpoint_epoch_088,88,0.8503527641296387,3.4802210330963135,61.538,0.3039498460929427
checkpoint_epoch_089,89,0.8190896511077881,3.5005719661712646,61.482,0.29335647982748947
checkpoint_epoch_090,90,0.7919360399246216,3.464940071105957,61.678,0.280942438698665
checkpoint_epoch_091,91,0.7657584547996521,3.4857065677642822,61.496,0.28309407238731027
checkpoint_epoch_092,92,0.7433853149414062,3.474675178527832,61.802,0.2983383281773465
checkpoint_epoch_093,93,0.7211868762969971,3.4503185749053955,62.02,0.28638509938822954
checkpoint_epoch_094,94,0.70244961977005,3.458003520965576,62.074,0.27250261241258467
checkpoint_epoch_095,95,0.6853018999099731,3.4538893699645996,62.092,0.28667784042878436
checkpoint_epoch_096,96,0.6733859181404114,3.4428272247314453,62.326,0.2641294394145775
checkpoint_epoch_097,97,0.6623421907424927,3.4526572227478027,62.26,0.2745444671659064
checkpoint_epoch_098,98,0.6539410352706909,3.4389960765838623,62.31,0.27628893220479367
checkpoint_epoch_099,99,0.6499000787734985,3.4382777214050293,62.342,0.2780464486464258
