epoch,train_loss,test_loss,behavioral_rsa_rho,behavioral_rsa_p_value,used_random_targets,used_shuffled_targets
8,114.82109135339795,84.97831814592055,0.6007514607269752,1.3522534049846337e-111,True,False
9,108.61428357491533,88.40528060322967,0.5701758060447032,3.0262521074182595e-98,True,False
10,106.73095111371407,90.69086683916123,0.5692654393819643,7.196332122186178e-98,True,False
11,105.6102991289049,92.86082079133935,0.5671284651973246,5.440098985024936e-97,True,False
12,104.76553564520754,94.67921569992824,0.5688030321791309,1.1162200712461165e-97,True,False
13,104.46682620907094,96.12618972188201,0.5630178315054816,2.555597968476668e-95,True,False
14,104.19778638929542,97.14982706143711,0.5564429504800261,1.0798303714584918e-92,True,False
15,104.14816298973527,97.97845775119508,0.5521381668816279,5.260877067877641e-91,True,False
16,104.00879593106849,98.5298778892222,0.548961389976225,8.929406998358293e-90,True,False
17,103.93002782171783,98.95742249883999,0.5427346886860798,2.105081446423603e-87,True,False
18,103.89655098954726,99.29955435062641,0.5386114299410995,7.363584290038467e-86,True,False
19,103.89362007627197,99.56757266218492,0.5374505939294661,1.985532009673327e-85,True,False
20,103.86757911407386,99.81670350132727,0.535417161902476,1.1180155334266868e-84,True,False
21,103.85664811490976,100.03146408671174,0.5308259150122987,5.301830796128948e-83,True,False
22,103.79935034754534,100.20843421556673,0.5267289723962916,1.5788863143533861e-81,True,False
23,103.84990787241928,100.38461434380126,0.5250604880145896,6.2064496569897485e-81,True,False
24,103.84278055967717,100.53837037481655,0.5203359882870786,2.8730828093041174e-79,True,False
25,103.8011588733282,100.6682085068845,0.5172041891785972,3.5318457233262524e-78,True,False
26,103.78673479497598,100.7731449274727,0.516326087469538,7.103705626493393e-78,True,False
27,103.82240806854333,100.87883585724383,0.51318641233453,8.498925052203039e-77,True,False
28,103.78939360726903,100.98224635677443,0.5096265779394054,1.3738427917957425e-75,True,False
29,103.74806126729273,101.04516774383039,0.5097811261478253,1.21832792561696e-75,True,False
30,103.75907044133321,101.11528112084827,0.5055328668353434,3.237346687694463e-74,True,False
31,103.79109800555369,101.18297003645924,0.505171079633821,4.271380739847343e-74,True,False
32,103.76156354148632,101.2538117888224,0.5050409412549599,4.7188311280918066e-74,True,False
33,103.78454243245217,101.32945576030247,0.5005387845990232,1.4427018521633643e-72,True,False
34,103.75206308549791,101.38911391621795,0.49854091174487575,6.474879094303519e-72,True,False
35,103.76729289976844,101.44987580525941,0.4973041122098796,1.6320384926556086e-71,True,False
36,103.76289862212712,101.49473799394639,0.49478508385099923,1.0602249420050222e-70,True,False
37,103.764584147699,101.54684975134074,0.4933841878885879,2.981353909630946e-70,True,False
38,103.75188266405438,101.5822039019337,0.49281199706971623,4.5416435009273606e-70,True,False
39,103.72847500534269,101.62819633694643,0.49079205545546584,1.9941751164237427e-69,True,False
40,103.70992484053086,101.65041696959437,0.49074376671745673,2.0657201778871442e-69,True,False
41,103.72112119891307,101.6669124371439,0.48968758905194565,4.459458258497364e-69,True,False
42,103.75274172119816,101.69958411791048,0.48810152285653485,1.4092053652454873e-68,True,False
43,103.7359060990183,101.73166504749277,0.4886420841548648,9.527190151137181e-69,True,False
44,103.73428458850469,101.76643245127978,0.4880648224123324,1.4471239636123917e-68,True,False
45,103.72984573913743,101.80468969187025,0.48583479071682073,7.220474887924204e-68,True,False
46,103.70374974385523,101.82074779700179,0.4856484290466875,8.254080031677148e-68,True,False
47,103.71321363792525,101.84546029106689,0.48444639439311143,1.9524138505320547e-67,True,False
48,103.72134972147003,101.86855269795623,0.4840569574891223,2.5786380809502184e-67,True,False
49,103.71350735904768,101.88672823405398,0.4834864305017567,3.873546107867168e-67,True,False
50,103.7159889411398,101.90263514228947,0.4830106875639871,5.43516566388412e-67,True,False
51,103.73226459534875,101.9250892512706,0.48173833721711057,1.34121115543056e-66,True,False
52,103.72875558108174,101.95498475975754,0.4815308306732131,1.553523084699066e-66,True,False
53,103.72498463131384,101.98041302591398,0.4801230369168692,4.1989472969469145e-66,True,False
54,103.72264270306954,102.00300311515345,0.47935566361259296,7.205682642845964e-66,True,False
55,103.71921321625855,102.01809468980652,0.47947031330871454,6.647713336625368e-66,True,False
56,103.7040634366614,102.03425037531562,0.4801736541828907,4.05181049826303e-66,True,False
57,103.72085531134354,102.05057685809899,0.48015359205374986,4.1095039759564334e-66,True,False
58,98.72488025020695,92.86940508257618,0.452691910908245,4.436315665387176e-58,False,False
59,90.54151479028928,87.09302693572492,0.4658054198264386,7.98485662737046e-62,False,False
60,84.40202215305656,78.53745851464035,0.45204420805797707,6.726438095478907e-58,False,False
61,74.91789389317056,69.5432485928193,0.6058511502786437,5.778992050858257e-114,False,False
62,63.63486003083205,57.958779645888185,0.6466757645709437,1.3704098399976885e-134,False,False
63,53.03995630153329,48.91170590226822,0.7016951943192687,5.619380585063906e-168,False,False
64,46.13959438714954,44.5146536010405,0.7161544419313002,4.5831284756755727e-178,False,False
65,42.071852285115675,41.74151463798397,0.7355284638713522,1.2839879052670966e-192,False,False
66,39.275682739934105,39.765885811484324,0.7342937587574228,1.1861044482974802e-191,False,False
67,37.145863435275004,38.31173590138472,0.7487712667112103,2.5068530997599622e-203,False,False
68,35.39010242874272,37.281456689149636,0.7485186444145125,4.0709155748789853e-203,False,False
69,34.00208737909629,36.256141451840904,0.7528985554400396,8.373330702569214e-207,False,False
70,32.796075001978146,35.71296679249126,0.7569520085104223,2.7615900122369076e-210,False,False
71,31.776031747749307,34.944389406488746,0.7595269800683363,1.561411723925015e-212,False,False
72,30.90003529810179,34.359428953729285,0.7542975200201498,5.357239156843987e-208,False,False
73,30.092645676842686,33.888585275049365,0.7635553293492855,4.166215047661778e-216,False,False
74,29.36071534302096,33.492382850436215,0.7633139274640516,6.853523285832738e-216,False,False
75,28.750901922294638,33.140306588694536,0.7656441234884266,5.474760725060898e-218,False,False
76,28.19581944262222,32.79336307588862,0.7642357737280869,1.0209744924691292e-216,False,False
