epoch,train_loss,test_loss,behavioral_rsa_rho,behavioral_rsa_p_value,used_random_targets,used_shuffled_targets
8,114.82109135339795,84.97831814592055,0.6007514607269752,1.3522534049846337e-111,True,False
9,108.61428357491533,88.40528060322967,0.5701758060447032,3.0262521074182595e-98,True,False
10,106.73095111371407,90.69086683916123,0.5692654393819643,7.196332122186178e-98,True,False
11,105.6102991289049,92.86082079133935,0.5671284651973246,5.440098985024936e-97,True,False
12,104.76553564520754,94.67921569992824,0.5688030321791309,1.1162200712461165e-97,True,False
13,104.46682620907094,96.12618972188201,0.5630178315054816,2.555597968476668e-95,True,False
14,104.19778638929542,97.14982706143711,0.5564429504800261,1.0798303714584918e-92,True,False
15,104.14816298973527,97.97845775119508,0.5521381668816279,5.260877067877641e-91,True,False
16,104.00879593106849,98.5298778892222,0.548961389976225,8.929406998358293e-90,True,False
17,103.93002782171783,98.95742249883999,0.5427346886860798,2.105081446423603e-87,True,False
18,103.89655098954726,99.29955435062641,0.5386114299410995,7.363584290038467e-86,True,False
19,103.89362007627197,99.56757266218492,0.5374505939294661,1.985532009673327e-85,True,False
20,103.86757911407386,99.81670350132727,0.535417161902476,1.1180155334266868e-84,True,False
21,103.85664811490976,100.03146408671174,0.5308259150122987,5.301830796128948e-83,True,False
22,103.79935034754534,100.20843421556673,0.5267289723962916,1.5788863143533861e-81,True,False
23,103.84990787241928,100.38461434380126,0.5250604880145896,6.2064496569897485e-81,True,False
24,103.84278055967717,100.53837037481655,0.5203359882870786,2.8730828093041174e-79,True,False
25,103.8011588733282,100.6682085068845,0.5172041891785972,3.5318457233262524e-78,True,False
26,103.78673479497598,100.7731449274727,0.516326087469538,7.103705626493393e-78,True,False
27,103.82240806854333,100.87883585724383,0.51318641233453,8.498925052203039e-77,True,False
28,103.78939360726903,100.98224635677443,0.5096265779394054,1.3738427917957425e-75,True,False
29,103.74806126729273,101.04516774383039,0.5097811261478253,1.21832792561696e-75,True,False
30,103.75907044133321,101.11528112084827,0.5055328668353434,3.237346687694463e-74,True,False
31,103.79109800555369,101.18297003645924,0.505171079633821,4.271380739847343e-74,True,False
32,103.76156354148632,101.2538117888224,0.5050409412549599,4.7188311280918066e-74,True,False
33,103.78454243245217,101.32945576030247,0.5005387845990232,1.4427018521633643e-72,True,False
34,103.75206308549791,101.38911391621795,0.49854091174487575,6.474879094303519e-72,True,False
35,103.76729289976844,101.44987580525941,0.4973041122098796,1.6320384926556086e-71,True,False
36,103.76289862212712,101.49473799394639,0.49478508385099923,1.0602249420050222e-70,True,False
37,103.764584147699,101.54684975134074,0.4933841878885879,2.981353909630946e-70,True,False
38,103.75188266405438,101.5822039019337,0.49281199706971623,4.5416435009273606e-70,True,False
39,103.72847500534269,101.62819633694643,0.49079205545546584,1.9941751164237427e-69,True,False
40,103.70992484053086,101.65041696959437,0.49074376671745673,2.0657201778871442e-69,True,False
41,103.72112119891307,101.6669124371439,0.48968758905194565,4.459458258497364e-69,True,False
42,103.75274172119816,101.69958411791048,0.48810152285653485,1.4092053652454873e-68,True,False
43,103.7359060990183,101.73166504749277,0.4886420841548648,9.527190151137181e-69,True,False
44,103.73428458850469,101.76643245127978,0.4880648224123324,1.4471239636123917e-68,True,False
45,103.72984573913743,101.80468969187025,0.48583479071682073,7.220474887924204e-68,True,False
46,103.70374974385523,101.82074779700179,0.4856484290466875,8.254080031677148e-68,True,False
47,103.71321363792525,101.84546029106689,0.48444639439311143,1.9524138505320547e-67,True,False
48,98.4152693391837,92.59176239519488,0.44730753894977665,1.3737884306453384e-56,False,False
49,90.0658598500936,86.36709240655215,0.45138517610373496,1.0263841465414739e-57,False,False
50,83.2429380548958,77.76033900982767,0.4541293317346496,1.7557720919402724e-58,False,False
51,74.4019315724888,69.41653914477943,0.6075273978138808,9.412044581401738e-115,False,False
52,63.84491900922189,58.202384737973716,0.641514212258903,8.293912389684542e-132,False,False
53,53.69883554728077,49.307140160660715,0.7013291263050269,9.935200724813745e-168,False,False
54,46.75953259032189,44.924822412143094,0.7165277630803741,2.467883139019544e-178,False,False
55,42.53161525990494,42.22704850507704,0.7375845373843657,3.0800026013215236e-194,False,False
56,39.642453994116956,40.2108027842822,0.738652608518809,4.374811885556024e-195,False,False
57,37.539584067389576,38.580160299058775,0.742592849978593,3.0041364985208033e-198,False,False
58,35.777148978531855,37.4766647802532,0.7501904146544153,1.627613378702824e-204,False,False
59,34.30711544913929,36.58572640603418,0.7548845390057359,1.680906412458529e-208,False,False
60,33.109146900124166,35.771118269440876,0.7551276381663253,1.039096621938068e-208,False,False
61,32.067242302722875,35.11485897506798,0.7540612601267564,8.53382100325424e-208,False,False
62,31.130325460037696,34.59772944582102,0.7621877183779597,6.934360230555867e-215,False,False
63,30.34871964705618,34.099548719205906,0.7644869035930062,6.0686556213623096e-217,False,False
64,29.656620009784223,33.72617506585727,0.7557886725710485,2.801599580239839e-209,False,False
65,29.004005368726737,33.24386194134286,0.7647588564346398,3.4523765233466718e-217,False,False
66,28.381611905930114,32.89781290128086,0.759072653735607,3.909737099009376e-212,False,False
67,27.85462253707928,32.640378498899345,0.7665647908567714,7.995864291511237e-219,False,False
68,27.326089040064087,32.386411972467414,0.7644265123620063,6.877770746244332e-217,False,False
69,26.87863558085011,32.071471303866055,0.7661423741368222,1.9350154475201624e-218,False,False
70,26.440212947179734,32.00849901905376,0.7684477422835211,1.5206095796153306e-220,False,False
71,26.02637167320357,31.71901938928425,0.7691075559877422,3.7595024465720484e-221,False,False
72,25.66286032087585,31.54313358285809,0.7627758075667257,2.0742551117288855e-215,False,False
73,25.283009468353356,31.377036711129037,0.7667941613171946,4.944385365206504e-219,False,False
74,24.900208438862723,31.217505397058982,0.7679348265071767,4.491537288772434e-220,False,False
75,24.573652367842826,31.091578741758568,0.769258191265786,2.730825129560261e-221,False,False
76,24.279092418850293,30.964302884939627,0.7671200841707488,2.4950061644318673e-219,False,False
77,23.964983789544355,30.8844215224461,0.7669895277437707,3.281836941225299e-219,False,False
