epoch,train_loss,test_loss,behavioral_rsa_rho,behavioral_rsa_p_value,used_random_targets,used_shuffled_targets,used_uniform_images
5,114.7564975601154,79.958426923383,0.3998921578035704,1.467161501812341e-44,False,False,True
6,78.69940346165707,77.47096867851131,0.4172632443267766,9.582298145141898e-49,False,False,False
7,76.75770406115419,75.6031385811653,0.4330468098471244,9.110763388079502e-53,False,False,False
8,75.06743697908776,73.97247242795828,0.46174242271754196,1.2022928306249184e-60,False,False,False
9,73.51597341606161,72.45882424201754,0.49697200642467293,2.090550339973594e-71,False,False,False
10,71.94790304928935,70.83271814841592,0.5363586104427233,5.030162592429248e-85,False,False,False
11,70.17759704589844,68.90687383999482,0.5799008008666511,2.4414394024539805e-102,False,False,False
12,67.99967616284653,66.46816059765895,0.6212234776856942,2.2564120736905097e-121,False,False,False
13,65.15109128238753,63.29192310143571,0.6513993613145216,3.49309196302636e-137,False,False,False
14,61.472918248903056,59.537712181470674,0.6642638264279002,1.7309408886699927e-144,False,False,False
15,58.038588124959425,56.602362975231195,0.6699941123008839,7.340975528839236e-148,False,False,False
16,55.29570052762441,53.99342207091948,0.6793504012249709,1.5609234220576903e-153,False,False,False
17,52.94773178945948,52.02896870565678,0.6881256617929903,4.757779183214689e-159,False,False,False
18,51.046406236051524,50.22327123821111,0.6970496764225262,7.286999465947459e-165,False,False,False
19,49.420568408067865,48.889427353664,0.7018052329446584,4.733913620745209e-168,False,False,False
20,47.959189724063606,47.64101131713193,0.7093430334616566,3.0977614623759157e-173,False,False,False
21,46.64062224200558,46.44335631902705,0.7167929769863596,1.588814561246114e-178,False,False,False
22,45.43285583327021,45.40985965201868,0.7196945695381836,1.2422320747257609e-180,False,False,False
23,44.29237441805261,44.465447568103095,0.7243367221475832,4.6488439066442814e-184,False,False,False
24,43.217250432994554,43.57982386805076,0.7240546901658459,7.543058258608331e-184,False,False,False
25,42.24698667446992,42.81944645834233,0.7299160341235483,2.8469424146787086e-188,False,False,False
26,41.297188745641314,42.00768545582808,0.7334135082810416,5.743720773850919e-191,False,False,False
27,40.4375785552894,41.311621165407296,0.7369118896029487,1.0476542218023288e-193,False,False,False
28,39.60233333302337,40.692644361632965,0.7395557722124898,8.336371339660852e-196,False,False,False
