epoch,train_loss,test_loss,behavioral_rsa_rho,behavioral_rsa_p_value,used_random_targets,used_shuffled_targets,used_uniform_images,used_image_noise
70,97.47866223195253,52.51599323420235,0.752875888871129,8.753408072013938e-207,False,False,True,False
71,27.167892815333655,31.180996151918865,0.7544978904826879,3.6080606746948843e-208,False,False,False,False
72,21.953603829043065,30.00818475965637,0.7647798424501195,3.305218701724256e-217,False,False,False,False
73,21.161908907903527,29.73451570120964,0.7644717075439488,6.262839127251128e-217,False,False,False,False
74,20.855219981016546,29.62760634448647,0.7649388972172421,2.3755000169383555e-217,False,False,False,False
75,20.673261198640862,29.5490795788844,0.7656434420699957,5.482543679051773e-218,False,False,False,False
76,20.52557210314637,29.51792085763499,0.7670297314311946,3.0162432393104704e-219,False,False,False,False
77,20.368901815440847,29.490787590406217,0.7672164818860768,2.037619329861388e-219,False,False,False,False
78,20.221869249423126,29.456366902556866,0.7665793013069169,7.756510444873505e-219,False,False,False,False
79,20.10080479122595,29.427591102557948,0.7635926694071072,3.857278534032974e-216,False,False,False,False
80,19.952303096528198,29.425631317644488,0.7668729341239046,4.1914534914281295e-219,False,False,False,False
81,19.81899004167467,29.362339841726737,0.766002955089761,2.589321583223676e-218,False,False,False,False
82,19.698693161856106,29.330191596436897,0.7644026836193303,7.22587235327185e-217,False,False,False,False
83,19.56096371257074,29.34276340547846,0.7650500562115857,1.8855478046001743e-217,False,False,False,False
84,19.454521977009865,29.29925138779108,0.7653237773967546,1.0670266885757582e-217,False,False,False,False
85,19.32788576775971,29.249264543227728,0.7623991963789699,4.4946801063996175e-215,False,False,False,False
86,19.207215142712368,29.25391893755665,0.7627467615835478,2.2018398639510011e-215,False,False,False,False
87,19.088594584583905,29.260212323942238,0.7639958768160745,1.6771356314261714e-216,False,False,False,False
88,18.97665469732311,29.269987517298915,0.7648641502139001,2.774473390886941e-217,False,False,False,False
89,18.861861252718686,29.26169921284881,0.7652797276666531,1.1694720068969553e-217,False,False,False,False
90,18.739294606893015,29.24631375897655,0.765664005856877,5.252459223755929e-218,False,False,False,False
91,18.62704668546978,29.20479973640231,0.7601304074425196,4.599279083571137e-213,False,False,False,False
92,18.501563423558284,29.197658075153498,0.7620620531139519,8.970362763227105e-215,False,False,False,False
93,18.390274238058073,29.19853242062732,0.7619339966147141,1.1659224192656814e-214,False,False,False,False
94,18.29881782743079,29.19234818516515,0.7591927631401382,3.067953031475427e-212,False,False,False,False
95,18.177031414000282,29.21317415606251,0.7616522948909892,2.0743757022667873e-214,False,False,False,False
96,18.076763116091573,29.194851216690317,0.7607003909673327,1.4448911096645916e-213,False,False,False,False
97,17.961470891894397,29.155600848118905,0.7600303727085725,5.633753626673535e-213,False,False,False,False
98,17.86348598617596,29.12478121341263,0.7591120129658342,3.6111746144946954e-212,False,False,False,False
99,17.75569853954368,29.160587268639663,0.7573608512080083,1.2194700494004975e-210,False,False,False,False
100,17.64670089869618,29.146809720202704,0.7584560369433284,1.3544306521857405e-211,False,False,False,False
101,17.53649182200762,29.15522907320307,0.7574297329962671,1.062412608588859e-210,False,False,False,False
102,17.448040436509572,29.167888641357422,0.7565910657660962,5.675065986388187e-210,False,False,False,False
103,17.33898367313797,29.133275553666426,0.7567245359884508,4.3487317431170226e-210,False,False,False,False
104,17.232649042335574,29.1414247797339,0.7562105876332571,1.2109323651468082e-209,False,False,False,False
105,17.15201591322627,29.177076371335193,0.7539334544563889,1.0975639106581046e-207,False,False,False,False
106,17.050689184764746,29.146974637363495,0.7560535436775778,1.6550093586714795e-209,False,False,False,False
107,16.939734033600445,29.177551838574487,0.7569032891828525,3.043784793504905e-210,False,False,False,False
108,16.842675798157245,29.147371344803446,0.7545288678481669,3.394057472881042e-208,False,False,False,False
109,16.738206667913293,29.184769646238884,0.7569748213961738,2.6385779444807744e-210,False,False,False,False
110,16.656099990464313,29.19604369948582,0.7536193414621434,2.03582951390421e-207,False,False,False,False
111,16.564598683174957,29.204632901355048,0.7531752991130952,4.8679496997575186e-207,False,False,False,False
112,16.467497976202715,29.21833137385753,0.7529398251501621,7.723090448993408e-207,False,False,False,False
113,16.38032159250529,29.208817729633815,0.753827437453886,1.3521773130911168e-207,False,False,False,False
114,16.273153299770197,29.165415284383364,0.7496651246538039,4.488078103871132e-204,False,False,False,False
115,16.183464694881703,29.22383199870916,0.7511693955546178,2.441346217020308e-205,False,False,False,False
116,16.10882743772047,29.184623317823885,0.751410726371672,1.527321755892325e-205,False,False,False,False
117,15.997758611747763,29.226797662387238,0.7517529865456436,7.845807512442016e-206,False,False,False,False
118,15.910679027314332,29.23305583131906,0.7507149396269723,5.896348257365285e-205,False,False,False,False
