epoch,train_loss,test_loss,behavioral_rsa_rho,behavioral_rsa_p_value,used_random_targets,used_shuffled_targets,used_uniform_images
45,98.31432663766961,55.08258526628189,0.752083453582231,4.119675797045495e-206,False,False,True
46,32.9057235559268,33.664632196584456,0.7556562474689866,3.6440967073849353e-209,False,False,False
47,27.369370003486274,32.005141685022174,0.7702085818552584,3.613230475405635e-222,False,False,False
48,26.447080659734244,31.608497830385662,0.7705738430366342,1.6564328172799515e-222,False,False,False
49,26.093054494038842,31.483134844026512,0.7709280301233874,7.764612408799747e-223,False,False,False
50,25.83607000525308,31.320477248555388,0.7743268532862013,5.035000184184029e-226,False,False,False
51,25.598543890955707,31.2367900827313,0.7755843838273258,3.2227970863461545e-227,False,False,False
52,25.38281653132135,31.119990227630783,0.7725469590812855,2.390433515443856e-224,False,False,False
53,25.184492465201508,30.96119991323566,0.775963520025709,1.402151388042754e-227,False,False,False
54,24.968961604744443,30.876982483415972,0.7735622850847911,2.6547493173231955e-225,False,False,False
55,24.787165919169166,30.85642722957042,0.7729929035492665,9.117604170822008e-225,False,False,False
56,24.573227414794246,30.71369864532302,0.7760631534334634,1.126404769016103e-227,False,False,False
57,24.39892388975191,30.65222444060099,0.7734493410249873,3.39189389768337e-225,False,False,False
58,24.192353795439914,30.60231416396673,0.7769010723575046,1.7780684164945003e-228,False,False,False
59,24.01236674131779,30.52650940615828,0.7773844655758176,6.107052191673035e-229,False,False,False
60,23.84388211427303,30.447022664612827,0.7768116100604399,2.1662833570488022e-228,False,False,False
61,23.658846186799025,30.363979170994206,0.7761789485814259,8.731841502100289e-228,False,False,False
62,23.484142911070933,30.318336107454247,0.7777612732461885,2.6499533865777434e-229,False,False,False
63,23.31853794721355,30.3256751634798,0.7776160475107805,3.6565375910406996e-229,False,False,False
64,23.153651097474665,30.232635498046875,0.7724536089367314,2.924023646679628e-224,False,False,False
65,22.970183237767944,30.173849896172793,0.7720239223600254,7.382782822722614e-224,False,False,False
66,22.787733447848925,30.033865343799906,0.7703190886945392,2.8542002986846356e-222,False,False,False
67,22.62406295290284,30.042954249935256,0.773455018118418,3.350384358599133e-225,False,False,False
68,22.46485546355102,29.98302345908149,0.7712485601562308,3.906810360298133e-223,False,False,False
69,22.30800267269737,29.919045379807276,0.771759001087722,1.3055053624764654e-223,False,False,False
70,22.1525877796712,29.939809725429473,0.7738687477984931,1.364441861540528e-225,False,False,False
71,21.97992585834704,29.842008348327973,0.774297477045011,5.3677669704040515e-226,False,False,False
72,21.83458509471608,29.826719378898158,0.7712426991216287,3.956227055552359e-223,False,False,False
73,21.689449421256533,29.75886147852102,0.7696836053907349,1.1056775916564316e-221,False,False,False
74,21.52011970667958,29.74178822132764,0.7700057407283482,5.568359645817637e-222,False,False,False
75,21.3780977613708,29.70103382932547,0.7704704764591939,2.06582617436567e-222,False,False,False
76,21.24021424481083,29.670306063488702,0.7707299422035688,1.1863819843476127e-222,False,False,False
77,21.083202747757085,29.65812040297366,0.7703026552230551,2.956090052166846e-222,False,False,False
78,20.929593194554716,29.623551532049863,0.7692999500922055,2.499120236844199e-221,False,False,False
79,20.803491159159062,29.59383908688034,0.7656315444205822,5.620227709150521e-218,False,False,False
80,20.64296996098146,29.58132628973018,0.7690098079769959,4.625572128257355e-221,False,False,False
81,20.49791914604377,29.502884901689562,0.7675477139507185,1.015308001208589e-219,False,False,False
82,20.360625771604415,29.473334823524095,0.7657956199455916,3.991607029985096e-218,False,False,False
83,20.213485728340466,29.475543701846295,0.766991856271783,3.265836659481956e-219,False,False,False
84,20.0965510022277,29.42602262971151,0.7669648963487097,3.4559536308293403e-219,False,False,False
85,19.959096734213368,29.383743539040918,0.7638097952381797,2.4637122142440703e-216,False,False,False
86,19.821694006880236,29.385095712229692,0.7644830073845548,6.1178633762187585e-217,False,False,False
87,19.691648330054456,29.38458026443397,0.7657825601224125,4.101859344454236e-218,False,False,False
88,19.568693662944593,29.382291214242166,0.7663875718989598,1.158751377764557e-218,False,False,False
89,19.44071390886386,29.3690333498117,0.7667449528733278,5.481732360547638e-219,False,False,False
90,19.30717643674391,29.35418814980523,0.7669958987970756,3.238243401757142e-219,False,False,False
91,19.185013308749635,29.31201036990677,0.7607440895370159,1.3219799279866746e-213,False,False,False
92,19.044912121632752,29.29891693789656,0.7633427226183592,6.458651035483744e-216,False,False,False
93,18.919517744280956,29.299367915200925,0.7628624354975563,1.7358992450142763e-215,False,False,False
94,18.81809179670593,29.284274338358674,0.7598505660329159,8.110699260877522e-213,False,False,False
95,18.688957113968698,29.308654574399494,0.7627084850979439,2.382000370846052e-215,False,False,False
96,18.576515921595355,29.27574258878086,0.7610969932160495,6.443310412347386e-214,False,False,False
97,18.449428241338758,29.24294759423693,0.7608604323280118,1.043250636053262e-213,False,False,False
98,18.34190391371455,29.20009608821974,0.7597380442017105,1.0186514671965897e-212,False,False,False
99,18.223798434820203,29.236281526681466,0.758499894371296,1.2400245837422895e-211,False,False,False
100,18.105785422708188,29.214343308085237,0.7590438334984123,4.143857297211654e-212,False,False,False
101,17.98399103117121,29.22480282862542,0.7579482631588246,3.757482945983058e-211,False,False,False
102,17.888683044349058,29.234838053666426,0.7572720118026381,1.4566938226347749e-210,False,False,False
103,17.769157058314274,29.191635658727826,0.7567978741696382,3.7567054853515715e-210,False,False,False
104,17.65431415473325,29.206269006044167,0.7567033200465066,4.536744325095606e-210,False,False,False
105,17.56452238658789,29.240961422577747,0.7544003640374438,4.373712621312147e-208,False,False,False
106,17.455159142407023,29.205675051357208,0.7565258168159754,6.463392395503621e-210,False,False,False
107,17.33661553866315,29.22475477608528,0.7577595687801978,5.486472922043727e-211,False,False,False
108,17.23038474740744,29.191569481106754,0.7551036589263271,1.0896109646264193e-208,False,False,False
109,17.11724190962942,29.227941312842606,0.7574481898206382,1.0238717469705142e-210,False,False,False
110,17.02758027708101,29.237669275610486,0.7542287051195898,6.135640139376811e-208,False,False,False
111,16.92783578148839,29.24513038087286,0.7536426058398614,1.944836771375789e-207,False,False,False
112,16.82441950240624,29.253689634207205,0.7534408056527626,2.8911052800376482e-207,False,False,False
