epoch,train_loss,test_loss,behavioral_rsa_rho,behavioral_rsa_p_value
1,143.1983749939134,114.26733727218038,0.4554429183477993,7.497325421633319e-59
2,99.00302954591872,91.31042998930367,0.42245921872078135,4.797240079743779e-50
3,88.15592698707475,84.87156837421227,0.4212684337420372,9.572966225193561e-50
4,82.8633145784077,80.37589453597096,0.4250181079676296,1.0767375234417528e-50
5,78.5838108009909,76.44711839033096,0.44051140595833277,9.591843488550467e-55
6,75.17823313874221,73.56875854829399,0.4790506515258572,8.927530808183956e-66
7,72.66444005992604,71.1986146789888,0.5308377123301641,5.249916219797972e-83
8,70.20873681065778,68.58605876943683,0.5930739610706773,4.152487730085514e-108
9,67.16747775302369,65.06803367151082,0.6417050679462953,6.559163491269327e-132
10,62.99570207252397,60.30702392831033,0.6738517683551297,3.567612606165798e-150
11,58.14311041792344,56.1134873701064,0.6809931213012147,1.498085790655111e-154
12,54.44853120629477,52.84471728920278,0.6929231819851195,3.782903260687232e-162
13,51.57175429706098,50.44493292708423,0.7031069553522442,6.189787532664088e-169
14,49.303535704467436,48.64831810629829,0.7125226447332935,1.7947450497660867e-175
15,47.37633207960472,47.02427055822552,0.7205795063339578,2.794579963132198e-181
16,45.69569081018506,45.65393334067329,0.726527478222491,1.0606368301246359e-185
17,44.1686295274222,44.31890704750356,0.7323758961324119,3.657893708806765e-190
18,42.782862422869144,43.05913419354687,0.7344812658793969,8.46911577786551e-192
19,41.51959030912193,42.11338993725856,0.7353963314029723,1.6298609816248017e-192
20,40.34373291311502,41.17504522418449,0.7419521536147681,9.908598181909769e-198
21,39.25750880360273,40.246910327047274,0.7450972591948175,2.7343572524685526e-200
22,38.2580377996133,39.534340937493255,0.7465728728972026,1.6715161679126255e-201
23,37.31978244728659,38.78514735606494,0.7497728681950305,3.645827920245753e-204
24,36.442709048368926,38.125126896642186,0.7492578412756946,9.836775664961712e-204
25,35.65954279173114,37.566435229053816,0.756530298291791,6.40591593483167e-210
26,34.88082782185309,36.954317946460364,0.7592131513468103,2.9442073816503656e-212
27,34.19621990129888,36.48454805237154,0.7598827473769721,7.598773616987322e-213
28,33.52956404117997,36.0450873822797,0.7598179122944874,8.665311046622641e-213
29,32.93291919317272,35.642126030684835,0.7640713763060273,1.4346890454397617e-216
30,32.388302594340736,35.18348776042791,0.7668475209788644,4.42093870948169e-219
31,31.81491409048149,34.76827910196715,0.767914304525107,4.690182024092589e-220
32,31.31926395490229,34.470200385836606,0.7659893267211426,2.664077906602704e-218
33,30.85094692304194,34.17174881993078,0.7661876905527185,1.7601417955175852e-218
